gyset	gylfi
og	af
carla	carla
tilbage	tilbageforuden
foruden	foruden
ester	esterselv
selv	

er	at
det	de
først	første
nu	du
du	de
erkender	erkenderer
det	dem

rører	rør
du	det
ved	vil
dig	der
selv	clay
klage	clay

man	han
må	mon
heller	hellere
ikke	skamfere
skamferet	skamfere
lig	lige
indskød	indskøde
kryger	krüger

jeg	de
kan	ka
huske	husket
at	jeg
jeg	
ikke	ville
ville	vil
have	ha
at	hedningerne
hedningerne	hedningerne
skulle	sku
slutte	slutte

men	mens
palin	palina
skal	ska
have	ha
sin	sine
gave	gabe
fortsætter	forsætter
han	hr
og	at
giver	gir
mig	megen
en	lille
lille	lilleæske
æske	æske

de	det
blev	bliver
fragtet	fragtede
over	overtil
til	
el	elleore
orde	
fra	
veddelev	veddelev
vel	ved
sagtens	
for	får
ikke	
at	være
være	
opsigt	opsigte

han	hun
vendte	vender
sig	så
rundt	rundtom
om	
dem	den
og	at
vil	ville
ikke	høre
høre	hører
hvad	hva
de	det
siger	sir
og	vil
vil	ville
jeg	
alligevel	alligevelt
gerne	gern

gengive	gengiv
tekst	teksten

det	de
gik	gikke
op	oppe
for	fra
willard	willamsamtalen
samtalen	
havde	have
bevæget	bevæget
sig	så
bort	fra
fra	
det	dets
oprindelige	oprindeligste
emne	emner

det	dét
gør	gøres
jeg	jer
sgu	sgu
da	der
ikke	
jeg	at jeg
sidder	siddere
og	at
frelser	frelserhalvdelen
halvdelen	halvdelene
af	er
menneskeheden	menneskehedene
fra	for
at	
spise	spises
det	der
stads	stadsfor
for	fra
det	de
er	kun
kun	
halvdelen	halvdelene
der	dér
kan	ka
lide	li
det	dét
forsvarede	forsvaret
jeg	jer
mig	
men	med
hun	
syntes	synes
det	de
var	frygteligt
frygtelig	frygteligt
pinligt	pinlig
hvis	vist
nu	det
det	de
var	er
indgået	indgåede
i	damernes
damernes	
selskabs	selskabsprogram
program	
på	
et	ét
eller	andet
andet	
tidspunkt	tidspunkt

som	så
sagt	sagde
er	det
det	de
gammel	gammelt
og	at
at	tro
tro	
hos	hoskelterne
kelterne	kelterne

du	de
er	alle
alle	
mennesker	menneskerne
burde	burdet
vide	vi
bedre	bedre

marker	markér
tekst	teksten

men	man
heller	hellere
ikke	ikkeafhoppere
afhoppere	afhopperne
kunne	ku
vide	vi
sig	at
sikre	sikrere

hver	vejr
gang	
er	brevet
brevet	breven
udformet	udformet
efter	eftersamme
samme	sammenskabelonen
skabelon	skabelonen
en	
eller	
to	topolitikere
politikere	politikerer
fra	for
christiansborg	christiansborg
forsøger	forsøge
at	retfærdiggøre
retfærdiggøre	
partiets	partiet
position	positioner
på	for
et	ét
politikområde	politikområdet
over	overfor
for	
medlemmerne	medlemmerne

det	de
kan	ka
da	der
godt	
være	vær
siger	sir
lisa	lizza
ligegyldigt	ligegyldig
men	med
det	de
gør	gøre
da	der
heller	
ikke	
noget	nåede

afslut	afslut
auto	autofunktion
funktion	

tanja	tania
have	havede

så	sig
pegede	pejede
john	jonah
patterson	patterson
over	ovre
på	
flot	flodman
man	
der	da
også	osse
var	har
til	tilstede
stede	
på	paa
kontoret	kontoret

lidt	let
efter	efterkom
kom	kommer
hun	hunde
ind	inde
med	i
frokost	frokostbakken
bakken	

ni	nittenhundrede
nul	nul
tre	
to	toogtyve
otte	otteogtyve
og	
tyve	
fem	femhundrede
hundrede	
og	
tre	treogfirs

her	hér
fandt	fandte
jeg	at
gå	gennem
gennem	
s	
grav	
over	
drysset	
af	er
termometer	termometeret
ved	vi
sødlig	sødligt
duft	duftføjede
føjede	
strøg	strøget
af	
melankoli	melankolien
til	thi
den	dens
sene	seneste
eftermiddag	eftermiddag

den	denne
ind	indskrumpede
skrumpede	
mand	
befamlede	befamlet
hans	han
ben	bene
og	at
tilbyde	tilbydede
ham	han
et	ét
eller	
andet	

løbet	løbet
blev	bliver
kørt	kørt
i	et
et	
helt	heltfantastisk
fantastisk	fantastiskt
tempo	tempo
punktum	punktum

under	undertræerne
træerne	træerne
har	havde
folk	folket
deres	deres
veje	vejer
under	undersusende
susende	susene
kroner	kronheim
der	det
kun	kunne
sjældent	sjælden
bliver	blir
lyttet	lyttede
til	tiltæt
tæt	tætvestammer
ved	vestammer
stammer	
som	så
et	ét
menneske	
måske	måsket
hvilede	villet
ved	vengang
en	én
gang	
og	derefter
derefter	deres
aldrig	aldrigt
igen	gennem

ligesom	lisom
crisi	chrissy

der	dér
standser	standser
hun	huns
forfærdet	forfærdede
for	forom
om	
hjørnet	
svinger	svinger
pludselig	pludseligt
den	dens
skrækkelige	skrækkelige
ellen	ælden
med	men
en	stor
stor	storkurv
kurv	
i	hånden
hånden	hånden

robert	roberts
h	heaths
historie	historier
hans	han
gamle	gamles
artikler	artikler
og	hans
hans	
for	forlængst
længst	
afdøde	
patienter	patienter
med	ved
deres	dets
numre	numrer
bliver	blir
klangbund	klangbundt
for	fra
alt	al
hvad	hva
jeg	høre
hører	høre

det	de
var	varvildt
vildt	vildtkreative
kreative	
mennesker	menneskere
der	da
alle	allesammen
sammen	
skrev	skreve
og	malede
malede	malede
og	drømte
drømte	drømte
om	at
at	og
blive	
forfattere	forfatteres
kunstnere	
og	især
især	sære
venskabet	venskabede
med	men
ole	ole
kom	komme
til	at
at	og
præge	prægede
mig	meget
meget	megen
i	de
de	
år	årer

stephen	stevien
konfronterede	konfronterede
aldrig	altid
sin	sine
overgreb	overgrebsmand
mand	

jeg	jer
har	er
fascineret	fascineret

med	vil
dagsordenen	dagsordenens
skrevet	skrevede
på	tavlen
tavlen	tavlene
og	af
navne	navnesedler
sedler	
på	paa
bordene	bordene

den	det
dufter	dufter
virkelig	virkeligt
godt	
og	om
lisa	lisa
har	er
lyst	lys

og	os
som	så
vist	vist
har	havde
glemt	glemte
hvor	hvorsjovt
sjovt	
hun	
en	engang
gang	
syntes	synes
det	de
var	at
at	få
få	
jussi	jussi
til	at
at	og
le	leve

her	hér
kunne	ku
man	have
have	ha
forklaret	forklaret
den	dens
danske	danskeposition
position	position
i	iganske
ganske	
få	forsimple
simple	simplesætninger
sætninger	
at	vi
vi	i
under	underingen
ingen	
omstændigheder	omstændighed
fra	for
statsmagtens	statsmagten
side	sider
vil	ville
blande	blandes
os	også
i	ihvad
hvad	
medierne	mediernes
trykker	trykkede
i	vores
vores	
land	lande
men	med
at	det
det	
ikke	
betyder	betydere
at	vi
vi	
nødvendigvis	nødvendigvist
er	får
for	foreller
eller	
imod	mod
det	dét
der	dér
bliver	blir
trygt	trygt

i	irene
amerika	amerikafungerede
fungerede	fungeret
politisere	politiseret
fra	for
atten	attenhundredetyverne
hundrede	
tyverne	
og	frem
frem	
som	
en	slags
slags	
græsrodsbevægelse	græsrodsbevægelser
der	da
tog	to
udgangspunkt	udgangspunktet
i	det
det	
ligheds	lighedsbegreb
begreb	
som	så
amerika	america
var	er
grundlagt	grundlagte
på	og
og	
i	
oplysningstiden	oplysningstidens
og	af
religiøsitet	religiøsiteten
i	
bredere	brederes
forstand	forstande
og	
som	
forlangte	forlangtes
slaveriet	slaveriets
afskaffet	afskaffede

jeg	det
fangede	fangedes
en	én
snog	snoge
og	opdagede
opdagede	opdaget
det	de
var	varen
en	
hugo	hugo
om	
den	det
rullede	rullede
sig	så
rundt	rundtom
om	
armen	armene
med	ved
sit	sitsiksakmønster
siksak	siksakmønster
mønster	
og	
havde	hadede
ingen	gule
gule	gulepletter
pletter	
på	paa
hovedet	hoved

som	så
det	de
ikke	lykkedes
lykkedes	lykkes
at	lukke
luge	lukke
væk	
da	der
hun	
var	lille
lille	lillet
så	som
hun	
voksede	vokset
op	oppe
og	at
fik	fikros
ros	rosunger
unger	

men	mens
de	det
vidste	vist
at	tog
tog	tug
var	
trænet	trænede
til	at
at	
forholde	forholdet
sig	så
tavs	tavst
med	medmindre
mindre	
medmindre	medmindrer

beskriv	beskriv
din	dine
mest	
markante	markant
egenskaber	egenskab
for	fra
mig	markerne

sommerhusene	sommerhusene
er	også
også	osse
en	central
central	centralt
brik	brik
i	i
kommunernes	kommunernes
turist	turistpolitik
politik	

til	thi
jul	julia
laver	lavede
farmor	farmoren
altid	altid
foch	fox
fordi	for
adam	adam
kom	kommer
til	at
at	og
sige	sir
at	han
han	
var	helt
helt	vild
vild	vildt
med	men
det	dét

den	denne
morgen	morgenhan
han	
steg	stegede
op	oppe
fra	for
dagens	dagenes
første	førstesvømmetur
svømmetur	svømmeture
som	så
fandt	fan
sted	stedet
ved	ved
solopgang	solopgangen
mærkede	mærkede
han	hans
en	letsynge
let	letsynge
synge	
i	
ørerne	ørene
og	poppede
poppede	poppede
dem	den
rutinemæssigt	rutinemæssig
med	men
en	lille
lille	lillefinger
finger	fingere
mens	medens
han	hans
rystede	rystede
det	de
våde	vådede
hår	hård

bestyrelsen	bestyrelserne
har	er
hidtil	hertil
arbejdet	arbejde
på	den
den	dén
måde	mode
at	når
når	
man	han
var	har
kommet	kommen
fire	firemåneder
måneder	måned
henne	hen
i	året
året	året
så	havde
havde	har
man	han
disponeret	disponerede
alle	allemidlerne
midlerne	midlerne

franskmændene	franskmændene
havde	har
åbenbart	åbenbar
heller	hellere
ikke	den
den	dens
store	stores
interesse	interesser
i	at
at	
have	ha
to	topalæstinensiske
palæstinensiske	palæstinensiske
terrorister	terroristers
siddende	sidden
i	fængsel
fængsel	fængselen

vi	i
satte	satte
os	også
på	på
bænken	bænkene
langs	lang
skøjtebane	skøjtebanen
og	pustede
pustede	pustede
på	paa
vores	vor
kakao	kakao

de	det
har	havde
samlet	samlede
regnvand	regnvand
til	thi
mig	marc
i	den
den	
lille	lilles
skind	skindpose
pose	
vi	
havde	har
rosiner	rosinere
i	

pelle	pelleboch
boch	boch

vi	i
glider	glir
ind	indover
over	
en	én
vi	vis
samtidig	
med	men
at	
solen	solen
antænder	antænder
vandet	vandet
ude	ud
i	vest
vest	vesten

alle	alles
kan	ka
se	see
barske	barsken
ud	
når	når
de	det
er	masser
masser	
af	er
mennesker	menneskere
og	udstyr
udstyr	udstyrer
med	

og	om
i	mellemtiden
mellemtiden	
sidder	sir
vi	i
sammen	samme
din	dine
onkel	onkels
som	så
slider	slider
og	slæber
slæber	slæber
for	fra
din	dine
skyld	skyldadvokaten
advokaten	
som	skal
skal	ska
vindes	vinde
for	får
dig	der
kan	ka
se	
lederen	lederen
frem	fremfor
for	fra
alt	al
denne	den
store	storeherre
herrer	herre
som	så
ligefrem	ligefrembehersker
behersker	beherskede
din	dine
sag	sager
på	paa
dens	dets
nuværende	nuværendes
stade	stade

med	ved
mellemrum	mellemrumskærper
skærper	skærpede
frisør	frisøren
karlsen	karlsen
saksen	
på	sin
sin	sine
læderrem	læderremt
og	at
taler	tale
over	overtil
til	
far	fare
som	så
har	havde
fået	for
hagen	hagens
sæbe	sæbet
ind	

det	de
er	fordi
fordi	for
det	de
er	så
så	sig
sjæle	sjælesundt
sundt	
at	og
samle	samlet
på	frimærker
frimærker	frimærkerne

gulf	gylfi
havde	have
svaret	svaret
at	hun
hun	
aldrig	havde
havde	have
nogen	nogle
appetit	appetitter
men	med
hans	han
kone	konehun
hun	
havde	have
set	
ham	hammars
i	øjnene
øjnene	
med	men
et	fast
fast	fastblik
blik	
og	derefter
derefter	dereftersagt
sagt	sagde
hun	at hun
bryder	bryde
sig	så
ikke	
om	ombarnet
barnet	barene

marker	markér
afsnit	afsnit

overfører	overfør
indkomne	indkomne
mail	email
til	til
indbakken	indbakken

man	han
anser	ansede
i	det
det	
mindste	
indtil	indtilvidere
videre	viderer
din	dine
skyld	skylde
for	får
godt	godtgjort
gjort	

endelig	endeligt
handler	handler
det	de
også	osse
om	at
at	og
vove	voves
sig	
ud	
hvor	hvormen
man	han
netop	ikke
ikke	selv
selv	selvkender
kender	kender
alle	allesvarene
svarene	svarerne
og	at
fotografere	fotograferer
med	men
nysgerrigheden	nysgerrigheden
og	at
blive	bliver
ved	
med	at
at	
spørge	
hvorfor	hvorfra
hvordan	hvornår
hvad	hva
ligger	lægger
der	derbag
bag	

livet	lige
er	til
til	tilføjet
for	
at	
blive	
lavet	laven
det	der
er	ikke
ikke	
en	én
vente	ventetone
tone	
før	forlyksaligheden
lyksalighed	lyksaligheden
en	
der	
venter	venter
efter	eftergraven
graven	gravene
i	valhal
valhal	valhalt
eller	
paradis	paradisen

bedre	bitre
var	varer
det	derom
om	
han	han
hang	hank
i	et
et	
reb	rebmidt
midt	midt
oppe	
under	underhimlen
himlen	himmelen
så	som
ville	vil
stillingen	stillingen
måske	svare
svarer	svare
nogenlunde	nogle
til	thi
hans	han
indre	indresvimmelhed
svimmelhed	

hun	han
kunne	ku
ikke	døje
døje	døjede
folk	folker
der	da
svinede	svinede
og	at
ikke	
rydde	rydede
op	oppe
efter	
sig	så

en	én
ånd	ånder
fra	for
havet	haveten
en	
panikslagen	panikslagenskole
skole	
det	der
er	hvad
hvad	
laver	lave
den	dens
hvide	vide
mand	mande
på	paa
en	én
ø	
helt	hel
alene	alenlig
og	alene
hvem	hvemskal
skal	ska
egentlig	egentligt
tage	ta
ansvaret	ansvare
for	fra
ham	hammars

det	de
er	ikke
ikke	ham
ham	han
der	da
slår	slog
ikke	den
den	denne
hånd	hånde
der	da
er	blødere
blødere	bløderen
nænsomme	nænsommere
end	en
noget	nogen
andet	
i	verden
verden	verdenen

og	om
det	der
er	sådan
sådan	sådanne
en	fusentast
fusen	fusentast
tast	
min	
veninde	veninden
vil	ville
fortøje	fortøjes
sit	sit
livs	livsbåd
båd	
til	

der	det
var	er
to	todybe
dybe	dybehakker
hakker	hakkere
i	iæggen
æggen	æggene
der	da
tydeligvis	tydeligvist
stammede	stammedes
fra	for
det	dets
overhånd	overhånde
og	underhånds
under	underhånds
hånds	
som	så
gillan	gilan
havde	har
standset	standset

far	faren
kunne	ku
ikke	løsrive
løsrive	løsrives
sig	så
han	at han
ventede	ventet
indtil	ind til
lili	lilis
tøfler	tøflere
og	
så	
var	forsvundet
forsvundet	forsvundede

vores	vor
skridt	skridtgiver
giver	gir
genlyd	genlydet
i	det
det	
store	stores
år	årr

selv	selvkøerne
køerne	køerne
er	af
kedelige	kedelig
sortbrogede	sortbrogende
malkekøer	malkekøer
der	da
står	stå
og	kigger
kigger	kikker
dumt	dumpt
på	påen
en	én
og	
siger	sir
u	ud

bladet	bladets
hed	heddede
simpelthen	simpelthen
the	thegut
gut	gute
i	
shu	
og	om
artiklerne	artiklerne
handlede	handledes
om	omgodhed
godhed	godheden
på	paa
mange	mangeforskellige
forskellige	forskelligere
måder	moder

jeg	det
har	er
arvet	arvet
skabet	skabet
komma	komma
som	så
er	er
af	er
udskåret	
i	træ
træ	
punktum	

og	om
den	dén
pris	priste
de	det
betaler	betalede
de	det
teenagere	teenagerne
som	så
vokser	vokse
op	oppe
i	iron
jords	george
town	
er	af
høj	højt

de	det
døde	dødes
står	stod
op	oppe
af	ad
gravene	gravenes
deres	dets
arme	arm
strakte	strakt
sig	så
i	mølædt
mølædt	mølædte
lagner	lagner
og	
når	norde
de	det
brølede	brølede
buede	buget
stoffet	stoffede
ind	inde
ved	
deres	deres
munde	mund
og	det
det	de
lød	løder
som	så
skibets	skibets
tågehorn	tågehorne

hun	han
mener	mener
komma	komma
det	de
er	godt
godt	
for	fra
de	det
unge	ungere
er	at
at	
arbejde	
komma	komma
så	som
de	det
lærer	lære
hvordan	hvornår
det	de
er	at
at	
komme	
ud	ude
i	det
det	
virkelige	virkeligste
liv	
punktum	punktum

inna	jinna
ranja	ranjalovet
lovet	lovede
og	af
frille	frill
er	
allerede	alleredes
sprunget	sprungede
i	imen
men	
jeg	
bliver	blir
i	båden
båden	
sammen	samme
med	magesi
gesi	gisi

hans	han
klassekammerater	klassekammeraterne
trak	trak
sedler	sedlerne
op	oppe
af	ad
en	én
skål	skåle
og	om
på	paa
sedlerne	sedlerne
stod	står
der	det
navne	navnen
på	fra
forskellige	forskelligere
lande	lander
hvis	ved
nationalsang	nationalsangen
han	
så	optrådte
optrådte	optrådtes
med	men
på	paa
originalsproget	originalsproget
og	det
det	de
er	i
i	
øvrigt	
med	men
en	
lidt	lidt
underlig	underligt
og	derfor
derfor	derforsærligt
er	særligt
særligt	
rørende	
sangstemme	sangstemmer

jeg	det
havde	har
forladt	forladt
harward	herward
uden	udenat
at	tage
tage	taget
eksamen	eksamenen
og	at
levede	levet
på	pasulteløn
sulteløn	sultelønnen
som	så
frilands	frilandsskribent
skribent	

sagaen	sagnet
ligger	lægger
kold	koldt
og	livløs
livløs	livløs
hen	henne

en	én
tid	
gjorde	gjordes
jeg	alt
alt	al
det	
fotografen	fotografent
sagde	sagte
jeg	at jeg
tog	to
den	dens
hvide	vide
sommerkjole	sommerkjole
som	så
han	hans
så	godt
godt	
kunne	ku
lide	li
på	paa
og	at
købte	købt
og	orgie
o	
ikke	
perrin	perrin
det	dét
var	varer
jeg	jer
jo	ikke
ikke	
og	at
var	
det	dement
ment	mentsom
som	
et	ét
spørgsmål	
fra	for
jimi	jimie
hendrix	hendrick
til	thi
mig	maya

mine	min
læber	læbere
er	af
søde	sødedufte
dufte	dufter
jeg	jer
har	er
ofte	ofte
brugt	brug
borges	borgers
eksempel	
fra	for
novellen	novellens
pløn	plain
bar	
og	
orbis	orbies
iterative	iterativ

diane	diane
strand	strande

der	det
kunne	ku
være	hele
hele	hel
koloni	kolonien
og	
fuld	fulde
af	at
klinke	klinkemennesker
mennesker	
i	ifinis
finis	finis

råbte	råbte
thøger	thøger
og	hævede
hævede	hævede
sit	sit
hvide	vide
hoved	
i	en
en	
ild	ildregn
regn	
i	idet
det	
samme	sammen
slog	slå
lynet	lynet
ned	nede
i	
smedjen	smedjene
de	det
hørte	hørtes
som	så
et	stærkt
stærkt	stærk
sug	suget
et	
rabalder	rabaldere
og	om
en	end
knitren	knitren

ejeren	ejere
lader	lade
storcenter	storcenterne
både	bådeunge
unge	ungere
og	gamle
gamle	
tage	tages
plads	
i	ib
bilen	bilen
punktum	punktum

kære	kærefru
fru	frugat
gad	gade
ventes	ventedes
til	tilside
side	
for	får
jeg	at jeg
aner	anere
ikke	
hvor	hvormeget
meget	
større	størrer
den	dems
dims	dimsternede
der	dernede
nede	
har	havde
tænkt	tænkte
sig	at
at	og
blive	

eller	ældre
du	de
kan	ka
forestille	forestilles
dig	der
at	du
du	
kan	ka
ændre	ændrer
det	dem

for	fra
na	napolen
polen	
når	når
kanonerne	kanonerne
havde	har
skudt	skudtslaget
slaget	slagne
i	igang
gang	
var	hvor
der	det
ofte	ofte
ikke	meget
meget	andet
andet	anden
at	og
gøre	
end	at
at	
læne	læne
sig	tilbage
tilbage	tilbagesatse
og	at
satse	satset
på	at
at	rekrutterne
rekrutterne	rekrutterne
gjorde	gjordes
hvad	hva
der	det
skulle	sku
tilto	tiltog

berygtede	berygtet
sørøvere	sørøverne
og	den
den	dens
kvindelige	kvindeligste
bandeleder	bandeleder
lavinia	laviniafischer
fischer	fisher
havde	har
her	hertilbragt
tilbragt	
deres	dets
sidste	sidstedøgning
døgn	døgning
i	
en	
fløj	fløje
med	
ene	eneceller
celler	
tegnet	tegnede
af	at
robert	roberts
nils	nils
som	så
senere	seneredesignede
designede	designet
den	dens
store	storeobeliske
obelisk	obelisk
i	in
washington	washingtons
d	december
ce	c

er	af
tilsyneladende	tilsyneladende
uforklarlige	uforklarlig
årsager	årsagere

alting	altingen
i	mormors
mormors	mormors
køkken	køkkener
er	blot
blot	blot

vi	i
tilbringer	tilbringede
dagen	dage
på	for
reportage	reportagetur
tur	
i	
den	dens
belejrede	belejrende
by	bygning
i	en
en	
pansret	pansrette
land	landroverhundrede
rover	
hundrede	
og	
ti	
som	
de	det
har	er
købt	købte
af	det
det	de
britiske	britiskes
militær	militærer
i	ind
nordirland	nordirland

det	de
er	ikke
ikke	en
en	idé
ide	idé
jeg	at jeg
abonnerer	abonnerede
på	på

at	er
naturlovene	naturlovene
er	af
de	det
samme	
hvis	vil
man	han
eksempelvis	eksempelvist
bliver	blir
ved	veder
og	at
ved	vil
at	
formindske	formindsker
sig	så

nu	det
var	varer
alle	aller
opmærksom	opmærksomme
på	at
at	der
der	
foregik	foregik
noget	usædvanligt
usædvanligt	usædvanlig

de	det
bygger	bygger
den	dem
af	ad
rå	råord
ord	
og	
selv	selvkloge
kloge	
miner	
og	ligger
ligger	lægger
bløde	blødere
og	at
lede	ledeløse
løse	
bag	bagden
den	
som	så
sneglen	sneglene
i	sit
sit	
hus	huse

besvar	besvar
og	og
oversætte	oversæt
denne	den
email	email

maria	maria
ruller	rullede
også	osse
med	mens
øjne	øjnene

han	hun
skulle	sku
så	såofte
ofte	
som	
muligt	mulig
opleve	opleves
at	klevede
k	klevet
levede	levet
og	at
at	han
han	
som	så
alt	al
der	da
levede	levet
en	skønne
skønne	skønnedag
dag	
kunne	kunnet
overraske	overraskes
med	men
nye	ny
evner	evne
hvor	hvorufarlig
ufarlig	ufarligt
han	
en	
forekom	forekomme
i	
dag	

jeg	jer
skal	ska
til	thi
lybæk	løbeck
erklærede	erklære
han	hans
betydningsfuldt	betydningsfuld

og	om
når	nordet
det	de
modsatte	mossad
så	viser
viser	viser
sig	så
at	have
have	ha
nytte	nyttet
værdi	
i	dette
dette	
tilfælde	tilfældeløgnen
løgnen	lauren
der	da
altså	menes
menes	mentes
at	være
være	
en	én
vej	vejr
til	tilpenge
penge	pengepartnere
partnere	
eller	at
prestige	prestigere
bliver	
det	de
pludselig	pludseligt
i	orden
orden	
at	og
lyve	lyve

man	han
forsøger	forsøgere
at	gøre
gøre	
sig	så
rigtig	rigtigt
god	
til	thi
det	de
vigtigste	vigtigst
og	at
suger	suge
ind	inde
på	
et	ét
meget	lille
lille	lilleområde
område	området
af	ad
søkortet	søkortet

det	de
giver	gir
fire	firehundrede
hundrede	
og	
seksten	
men	mens
der	det
var	hvor
jo	firehundrede
fire	firehundrede
hundrede	
og	
enogtyve	enogfyrre
kommer	komma
halvtreds	
i	isken
æsken	æskene

den	denne
tredje	tredjekategori
kategori	kategorier
af	er
foran	foranfits
fides	
er	af
voldspsykopater	voldspsykopatere

så	sir
kom	kommer
der	det
et	par
par	
glimt	glimte
til	
og	om
pludselig	pludseligt
fik	fiktiv
jeg	jer
øje	øjet
på	
har	hr

mit	min
manglende	manglendes
sprog	sprogkendskab
kendskab	
beskytter	beskyttede
mig	man

vi	i
manglede	mangledes
kun	kunne
transperant	transperanterne
erne	

han	hun
tror	truer
selv	selvpå
på	
det	dét
jeg	at jeg
bevar	bevarer
mig	migvel
vel	
han	at han
har	havde
læst	læste
alt	al
hvad	hva
der	det
er	skrevet
skrevet	
om	og
de	det
ting	

eller	eller
uønsket	uønskede

nul	nul
en	nul
nul	
tre	tres
syv	syvogtres
og	
tres	
seks	sekshundrede
hundrede	
og	
treogtyve	treogfyrre

kun	kunne
den	dens
ubevægelige	ubevægeliges
skikkelse	skikkelser
henne	henneved
ved	ved
tunnel	tunnelmundingen
mundingen	
var	
tilbage	tilbagen

udskriv	udskriv
liste	liste
over	overslettet
slettet	slettets
post	poste
til	til
fax	faxmodtager
modtagere	

de	det
opfører	opføres
sig	så
i	det
det	
hele	
taget	taget
som	
teenage	teenager
op	
på	
udflugt	udflugten

da	der
jeg	fx
for	fx
eksempel	
skulle	sku
forstå	forståe
den	det
sammensatte	sammensattes
hovedperson	hovedpersonen
i	hippie
hippi	hippietopeter
to	
peter	
l	louisjensen
jensen	
blev	bliver
jeg	dybt
dybt	dyb
ramt	ram
af	at
at	
høre	hører
om	omepisoden
episoden	episodent
med	ved
den	dens
højre	højrevide
vide	
hustru	
og	
en	alt
alt	altfor
for	
tidlig	
fødsel	fødsel

nein	neineleven
eleven	elevent
sårede	sårede
i	hele
hele	
landet	landene
og	fik
fik	fikte
os	også
til	at
at	
gå	gået
i	krig
krig	

vores	vor
møde	møder
blev	bliver
der	da
også	osse
fra	for
starten	startens
præget	præget
af	er
en	én
underlig	underligt
trykkende	
mathed	mathed

jeg	det
gennemgik	gennemgik
sammen	sammenignal
med	
kommunalbestyrelsen	kommunalbestyrelsen
i	vores
vores	
fælles	fællesplan
plan	
punktum	

vi	i
kalder	kaldede
dem	den
for	fra
l	ls
s	
fireogtyve	fireogfyrre
ofre	
og	of
det	de
er	vores
vores	
ambition	ambitioner
ja	jar

jeg	de
følte	føles
næsten	næsten
det	de
var	varskæbnen
skæbnen	skæbnene
det	de
var	hvor
pay	payback
back	backtun
tun	

til	thi
sidst	sidste
tier	tier
han	hans
og	at
kigger	kikker
på	mit
mit	min
ansigt	ansigter

mckenna	mckenna
og	jeg
jeg	
havde	hadede
den	denne
her	
ting	
i	gymnasiet
gymnasiet	
da	der
vi	i
begyndte	begyndt
at	af
date	dates
hvor	hvorvi
vi	i
altid	skulle
skulle	sku
tjekke	checke
den	dem
anden	andet
med	men
i	telefonopkald
telefonopkald	telefonopkaldet

men	med
da	der
han	hans
opdagede	opdaget
et	skudhul
skudhul	skudhulet
i	isønnens
sønnens	sønnens
trøje	trøje
cyklede	cyklede
han	hans
over	ovre
til	
ulykkesstedet	ulykkesstedet
og	kunne
kunne	kunnet
bagefter	bagefterfortælle
fortælle	fortælles
at	tagelærkes
tage	taylors
lærkes	lærkes
bil	
var	
gennemhullet	gennemhullede
som	så
en	én
sig	sig

landet	landene
har	havde
fået	nye
nye	ny
udenrigsminister	udenrigsministere
punktum	

det	de
store	storeblide
blide	blideglansfulde
glansfulde	glansfuldt
par	parglue
glue	
som	så
koen	koen
og	
kalven	kalventit
tit	titter
og	
så	såtyren
tyren	tyrenoksen
oksen	
som	så
sådan	så
kan	ka
rette	rettes
mod	moders
os	

hvis	vi
det	de
var	har
gået	skævt
skævt	skævte
denne	dennegang
gang	
var	hans
hans	han
karriere	karrierer
kørt	kørt
af	ad
sporet	sporet
fra	for
begyndelsen	begyndelsen

de	det
fik	fiktive
en	mere
mere	
fleksibel	fleksibelt
arbejdstid	arbejdstid
punktum	punktum

på	for
båndet	båndene
er	har
stilheden	stilheden
ikke	ikkestille
stille	stillet
men	med
skurrende	skurrene
knitrende	knitrende
fingererede	fingereret
fumlede	fumlet

det	de
er	har
jo	ikke
ikke	
os	også
men	mens
producenterne	producenterne
fastsætter	fastsætter
priserne	priserne

og	om
når	nårnu
nu	nui
i	
morgen	
i	
flyver	flyverderhen
derhen	
så	såbring
bring	bringen
ham	hammars
en	
hilsen	hilsenmin
min	
elskede	elsket
ven	
og	at
sige	sig
ham	at
jeg	at jeg
atter	at
til	tøen
øen	øen
kommer	komme
når	når
vinteren	vinteren
er	har
svunden	svundent
og	at
det	de
er	sommer
sommer	somme

klokken	kl
ni	niver
var	varer
det	der
absolut	
tidligst	tidligste
at	han
han	
kunne	ku
mødes	mødtes
til	the
interview	interviewet

fyldt	fyld
med	marc
os	ostomen
to	
men	
uden	
noget	nåede
af	er
dig	der
selv	

vi	i
har	er
vedligeholdelseskonto	vedligeholdelseskonto
men	mens
der	det
er	jo
jo	ikke
ikke	
sat	satsat
sat	
af	
til	
den	dens
slags	slag
som	så
forventet	forventede
bliver	blir
værre	været
en	almindelig
almindelig	almindeligt
tapetern	tapetern

til	tilsidst
sidst	
får	for
hun	
kvalme	kvalmer
og	
mod	mode
og	at
kaste	kaster
op	oppe
mens	med
de	det
andre	
skåler	skålere
og	synger
synger	synke
hendes	hende
pris	prise

du	det
synes	syns
måske	at måske
det	de
er	lige
lige	ligemeget
meget	
hvad	du
du	de
får	for
i	latin
latin	latin

men	mens
de	det
var	begge
begge	beggefuldkommen
fuldkommen	fuldkomment
